city,cloudiness,country,date,humidity,lat,lon,main_temp,max_temp,pressure,timezone,visibility,wind.deg,wind_speed
Te Anau,100.0,NZ,1603590058.0,86.0,-45.42,167.72,15.46,15.46,1009.0,46800.0,10000.0,340.0,1.12
Sitka,90.0,US,1603589902.0,44.0,57.05,-135.33,5.0,5.0,1034.0,-28800.0,10000.0,50.0,1.5
Krasnobrodskiy,1.0,RU,1603590132.0,91.0,54.16,86.45,-4.65,-4.65,1035.0,25200.0,10000.0,221.0,4.65
Sirte,0.0,LY,1603590132.0,74.0,31.21,16.59,19.07,19.07,1019.0,7200.0,10000.0,199.0,2.9
Thompson,75.0,CA,1603590132.0,85.0,55.74,-97.86,-6.0,-6.0,1024.0,-18000.0,10000.0,260.0,2.6
Vagay,100.0,RU,1603590132.0,98.0,57.94,69.02,-0.73,-0.73,1007.0,18000.0,175.0,152.0,4.71
Bagdarin,100.0,RU,1603590132.0,88.0,54.43,113.6,-0.81,-0.81,1022.0,28800.0,10000.0,71.0,0.85
Rikitea,99.0,PF,1603589912.0,81.0,-23.12,-134.97,23.83,23.83,1013.0,-32400.0,10000.0,341.0,9.2
Fortuna,75.0,US,1603589881.0,81.0,40.6,-124.16,10.95,11.67,1016.0,-25200.0,10000.0,280.0,4.6
Petropavlovsk-Kamchatskiy,90.0,RU,1603589841.0,81.0,53.05,158.65,6.0,6.0,1004.0,43200.0,10000.0,80.0,5.0
Saint-Philippe,0.0,RE,1603590133.0,49.0,-21.36,55.77,18.94,22.0,1017.0,14400.0,10000.0,50.0,3.1
Bezhetsk,77.0,RU,1603590133.0,91.0,57.79,36.7,1.76,1.76,1009.0,10800.0,10000.0,303.0,1.77
Souillac,75.0,MU,1603590133.0,94.0,-20.52,57.52,21.0,21.0,1018.0,14400.0,5000.0,100.0,7.2
Haines Junction,100.0,CA,1603590134.0,76.0,60.75,-137.51,-3.63,-3.63,1030.0,-25200.0,10000.0,174.0,0.42
Nikolskoye,90.0,RU,1603590134.0,86.0,59.7,30.79,3.55,4.0,1006.0,10800.0,10000.0,186.0,1.64
Hobart,40.0,AU,1603590083.0,43.0,-42.88,147.33,12.19,13.89,1025.0,39600.0,10000.0,210.0,5.1
Barrow,90.0,US,1603590080.0,96.0,71.29,-156.79,0.0,0.0,1016.0,-28800.0,10000.0,350.0,5.1
Upernavik,88.0,GL,1603589835.0,93.0,72.79,-56.15,-5.64,-5.64,1013.0,-10800.0,10000.0,125.0,3.44
Quzhou,67.0,CN,1603590134.0,65.0,28.96,118.87,16.64,16.64,1021.0,28800.0,10000.0,68.0,2.99
Samarai,59.0,PG,1603590135.0,80.0,-10.62,150.67,27.6,27.6,1010.0,36000.0,10000.0,176.0,2.75
Bullhead City,75.0,US,1603589868.0,30.0,35.15,-114.57,28.12,29.0,1007.0,-25200.0,10000.0,150.0,5.1
Esperance,0.0,AU,1603590135.0,52.0,-33.87,121.9,18.0,18.0,1022.0,28800.0,10000.0,30.0,6.2
Yuanping,0.0,CN,1603590135.0,34.0,38.72,112.76,14.36,14.36,1018.0,28800.0,10000.0,172.0,0.36
Saskylakh,100.0,RU,1603589853.0,94.0,71.92,114.08,-11.3,-11.3,1008.0,32400.0,2348.0,276.0,8.43
Yumen,87.0,CN,1603590135.0,63.0,40.28,97.2,5.54,5.54,1025.0,28800.0,10000.0,75.0,2.6
Tegul'det,100.0,RU,1603590136.0,93.0,57.31,88.17,-3.65,-3.65,1030.0,25200.0,10000.0,262.0,4.36
Isla,97.0,PH,1603590136.0,73.0,15.89,120.3,29.22,29.22,1010.0,28800.0,10000.0,114.0,2.0
Ilulissat,5.0,GL,1603589846.0,57.0,69.22,-51.1,-7.0,-7.0,1011.0,-10800.0,10000.0,90.0,6.2
Changji,0.0,CN,1603590136.0,86.0,44.02,87.32,5.0,5.0,1033.0,28800.0,10000.0,0.0,1.0
Saldanha,0.0,ZA,1603590136.0,92.0,-33.01,17.94,14.67,14.67,1016.0,7200.0,10000.0,186.0,1.85
Bredasdorp,15.0,ZA,1603590035.0,77.0,-34.53,20.04,17.0,17.0,1015.0,7200.0,10000.0,300.0,3.6
Touros,40.0,BR,1603590009.0,88.0,-5.2,-35.46,25.0,25.0,1013.0,-10800.0,10000.0,180.0,1.5
Kaeo,4.0,NZ,1603589879.0,64.0,-35.1,173.78,19.89,19.89,1025.0,46800.0,10000.0,38.0,3.56
Havøysund,75.0,NO,1603589881.0,86.0,71.0,24.66,3.0,3.0,1004.0,3600.0,10000.0,90.0,8.7
Lüderitz,29.0,NA,1603590137.0,63.0,-26.65,15.16,16.77,16.77,1012.0,7200.0,10000.0,165.0,7.21
Port Elizabeth,0.0,ZA,1603590049.0,93.0,-33.92,25.57,16.0,16.0,1012.0,7200.0,10000.0,240.0,2.1
